Original Column,Source Dataset,Source File,Data Type,Mapped Classification,Mapped Entity / Relationship,Description
Processor(_Total) pct_ Privileged Time,Processed_Windows_dataset,windows7_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Processor(_Total) C3 Transitions sec,Processed_Windows_dataset,windows7_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Processor(_Total) DPCs Queued sec,Processed_Windows_dataset,windows7_dataset.csv,float64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Processor(_Total) Interrupts sec,Processed_Windows_dataset,windows7_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Process(_Total) Pool Paged Bytes,Processed_Windows_dataset,windows7_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process(_Total) IO Read Operations sec,Processed_Windows_dataset,windows7_dataset.csv,str,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process(_Total) Working Set - Private,Processed_Windows_dataset,windows7_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Process(_Total) Working Set Peak,Processed_Windows_dataset,windows7_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Process(_Total) IO Write Operations sec,Processed_Windows_dataset,windows7_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process(_Total) Page File Bytes,Processed_Windows_dataset,windows7_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process(_Total) pct_ User Time,Processed_Windows_dataset,windows7_dataset.csv,str,Graph Entity,User,Serves as primary node representation for User
Process(_Total) Virtual Bytes Peak,Processed_Windows_dataset,windows7_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process(_Total) Page File Bytes Peak,Processed_Windows_dataset,windows7_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process(_Total) IO Other Bytes sec,Processed_Windows_dataset,windows7_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process(_Total) Private Bytes,Processed_Windows_dataset,windows7_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process(_Total) IO Write Bytes sec,Processed_Windows_dataset,windows7_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process(_Total) Elapsed Time,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Process(_Total) Virtual Bytes,Processed_Windows_dataset,windows7_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process(_Total) pct_ Processor Time,Processed_Windows_dataset,windows7_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Process(_Total) Creating Process ID,Processed_Windows_dataset,windows7_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Process(_Total) Pool Nonpaged Bytes,Processed_Windows_dataset,windows7_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process(_Total) Working Set,Processed_Windows_dataset,windows7_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Process(_Total) Page Faults sec,Processed_Windows_dataset,windows7_dataset.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Process(_Total) ID Process,Processed_Windows_dataset,windows7_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Process(_Total) IO Other Operations sec,Processed_Windows_dataset,windows7_dataset.csv,float64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Process(_Total) IO Data Operations sec,Processed_Windows_dataset,windows7_dataset.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Process(_Total) Thread Count,Processed_Windows_dataset,windows7_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process(_Total) pct_ Privileged Time,Processed_Windows_dataset,windows7_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Process(_Total) IO Data Bytes sec,Processed_Windows_dataset,windows7_dataset.csv,str,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process(_Total) IO Read Bytes sec,Processed_Windows_dataset,windows7_dataset.csv,str,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process(_Total) Priority Base,Processed_Windows_dataset,windows7_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Process(_Total) Handle Count,Processed_Windows_dataset,windows7_dataset.csv,int64,Graph Entity,Session,Serves as primary node representation for Session
Network_I(6TO4 Adapter) Packets Received Unknown,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(isatap{B4D100D3-}) Packets Received Unknown,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(Intel R _Pro_1000MT) Packets Received Unknown,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(6TO4 Adapter) Bytes Received sec,Processed_Windows_dataset,windows7_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Network_I(isatap{B4D100D3-}) Bytes Received sec,Processed_Windows_dataset,windows7_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Network_I(Intel R _Pro_1000MT) Bytes Received sec,Processed_Windows_dataset,windows7_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Network_I(6TO4 Adapter) Bytes Sent sec,Processed_Windows_dataset,windows7_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Network_I(isatap{B4D100D3-}) Bytes Sent sec,Processed_Windows_dataset,windows7_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Network_I(Intel R _Pro_1000MT) Bytes Sent sec,Processed_Windows_dataset,windows7_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Network_I(6TO4 Adapter) Packets Outbound Errors,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(isatap{B4D100D3-}) Packets Outbound Errors,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(Intel R _Pro_1000MT) Packets Outbound Errors,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(6TO4 Adapter) Packets Received Discarded,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(isatap{B4D100D3-}) Packets Received Discarded,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(Intel R _Pro_1000MT) Packets Received Discarded,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(6TO4 Adapter) Bytes Total sec,Processed_Windows_dataset,windows7_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Network_I(isatap{B4D100D3-}) Bytes Total sec,Processed_Windows_dataset,windows7_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Network_I(Intel R _Pro_1000MT) Bytes Total sec,Processed_Windows_dataset,windows7_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Network_I(6TO4 Adapter) Packets Outbound Discarded,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(isatap{B4D100D3-}) Packets Outbound Discarded,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(Intel R _Pro_1000MT) Packets Outbound Discarded,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(6TO4 Adapter) Packets Sent Unicast sec,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(isatap{B4D100D3-}) Packets Sent Unicast sec,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(Intel R _Pro_1000MT) Packets Sent Unicast sec,Processed_Windows_dataset,windows7_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(6TO4 Adapter) Output Queue Length,Processed_Windows_dataset,windows7_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Network_I(isatap{B4D100D3-}) Output Queue Length,Processed_Windows_dataset,windows7_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Network_I(Intel R _Pro_1000MT) Output Queue Length,Processed_Windows_dataset,windows7_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Network_I(6TO4 Adapter) Packets Received sec,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(isatap{B4D100D3-}) Packets Received sec,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(Intel R _Pro_1000MT) Packets Received sec,Processed_Windows_dataset,windows7_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(6TO4 Adapter) Current Bandwidth,Processed_Windows_dataset,windows7_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Network_I(isatap{B4D100D3-}) Current Bandwidth,Processed_Windows_dataset,windows7_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Network_I(Intel R _Pro_1000MT) Current Bandwidth,Processed_Windows_dataset,windows7_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Network_I(6TO4 Adapter) Packets sec,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(isatap{B4D100D3-}) Packets sec,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(Intel R _Pro_1000MT) Packets sec,Processed_Windows_dataset,windows7_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(6TO4 Adapter) Packets Sent sec,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(isatap{B4D100D3-}) Packets Sent sec,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
